train_id,name,item_condition_id,category_name,category_name 1,category_name 2,category_name 3,category_name 4,category_name 5,brand_name,price,high_priced,shipping,item_description,has_offer
0,MLB Cincinnati Reds T Shirt Size XL,3,Men/Tops/T-shirts,Men,Tops,T-shirts,,,Unknown,10,0,1,no description yet,0
1,Razer BlackWidow Chroma Keyboard,3,Electronics/Computers & Tablets/Components & Parts,Electronics,Computers & Tablets,Components & Parts,,,Razer,52,0,0,this keyboard is in great condition and works like it came out of the box. all of the ports are tested and work perfectly. the lights are customizable via the razer synapse app on your pc.,0
2,AVA-VIV Blouse,1,Women/Tops & Blouses/Blouse,Women,Tops & Blouses,Blouse,,,Target,10,0,1,"adorable top with a hint of lace and a key hole in the back! the pale pink is a 1x, and i also have a 3x available in white!",0
3,Leather Horse Statues,1,Home/Home DÃ©cor/Home DÃ©cor Accents,Home,Home DÃ©cor,Home DÃ©cor Accents,,,Unknown,35,0,1,new with tags. leather horses. retail for [rm] each. stand about a foot high. they are being sold as a pair. any questions please ask. free shipping. just got out of storage,0
4,24K GOLD plated rose,1,Women/Jewelry/Necklaces,Women,Jewelry,Necklaces,,,Unknown,44,0,0,complete with certificate of authenticity,0
5,Bundled items requested for Ruie,3,Women/Other/Other,Women,Other,Other,,,Unknown,59,0,0,"banana republic bottoms, candies skirt with matching blazer,amy byers suit, loft bottoms and cami top.",0
6,Acacia pacific tides santorini top,3,Women/Swimwear/Two-Piece,Women,Swimwear,Two-Piece,,,Acacia Swimwear,64,0,0,"size small but straps slightly shortened to fit xs, besides that, perfect condition",0
7,Girls cheer and tumbling bundle of 7,3,Sports & Outdoors/Apparel/Girls,Sports & Outdoors,Apparel,Girls,,,Soffe,6,0,1,you get three pairs of sophie cheer shorts size small and medium girls and two sports bra/boy shorts spandex matching sets in small and medium girls. all items total retail for [rm] in store and you can take him today for less than the price of one item at the store!),0
8,Girls Nike Pro shorts,3,Sports & Outdoors/Apparel/Girls,Sports & Outdoors,Apparel,Girls,,,Nike,19,0,0,girls size small plus green. three shorts total.,0
9,Porcelain clown doll checker pants VTG,3,Vintage & Collectibles/Collectibles/Doll,Vintage & Collectibles,Collectibles,Doll,,,Unknown,8,0,0,"i realized his pants are on backwards after the picture. they were very dirty so i hand washed them. he has a stuffed body and painted porcelain head, hands and feet. back before clowns were too scary. 9"" tall. no chips or cracks but minor paint loss in a few places. clown circus doll collectible",0
10,Smashbox primer,2,Beauty/Makeup/Face,Beauty,Makeup,Face,,,Smashbox,8,0,1,0.25 oz full size is 1oz for [rm] in sephora,0
11,New vs pi k body mists,1,Beauty/Fragrance/Women,Beauty,Fragrance,Women,,,Victoria's Secret,34,0,0,(5) new vs pink body mists (2.5 oz each) fresh & clean sun kiss cool and bright total flirt sweet and flirty,0
12,Black Skater dress,2,"Women/Dresses/Above Knee, Mini",Women,Dresses,"Above Knee, Mini",,,rue,16,0,0,"xl, great condition",0
13,Sharpener and eraser,1,Other/Office supplies/School Supplies,Other,Office supplies,School Supplies,,,Scholastic,4,0,1,no description yet,0
14,HOLD for Dogs2016 Minnetonka boots,3,Women/Shoes/Boots,Women,Shoes,Boots,,,UGG Australia,43,0,0,authentic. suede fringe boots. great condition! size 7. if you are between the sizes 5.5-7 and love wearing thick socks during the winter they'd be perfect for you as well (i did last winter) :),0
15,Sephora tarte birthday gift,1,Beauty/Makeup/Makeup Sets,Beauty,Makeup,Makeup Sets,,,Tarte,11,0,1,brand new. deluxe travel size products. contains: amazonian clay 12 hour blush in paaarty - .05oz/1.5g tarteist lip paint in birthday suit - .034oz/1ml,0
16,Glitter Eyeshadow,1,Beauty/Makeup/Eyes,Beauty,Makeup,Eyes,,,Wet n Wild,6,0,1,2 glitter eyeshadows; one in brass and one in bleached.,0
17,New: Baby K'tan active baby carrier,1,Kids/Gear/Backpacks & Carriers,Kids,Gear,Backpacks & Carriers,,,Unknown,29,0,1,"brand new in box size: medium color: coral retails for [rm] the baby kâ€™tan active is made of a breathable hi-tech performance fabric that wicks away moisture and sweat, blocks over 90% of the sunâ€™s harmful uva and uvb rays, and provides a unique temperature control. - ergonomic positioning for healthy infant development. - evenly distributes weight across back and shoulders. - double-loop design slips on like a t-shirt.",0
18,"Too Faced Limited ""Merry Macaroons""",1,Beauty/Makeup/Makeup Palettes,Beauty,Makeup,Makeup Palettes,,,Too Faced,25,0,1,"this authentic pallete by too faced is brand new in mint condition still in original box. it's part of the. christmas 2016 collection. it has 12 pretty eye shadow colors and a small sized""better than sex"" mascara. never even swatched. impeccable shape. price includes 2 day priority shipping with insurance.",0
19,Cream/ Beige Front Cross Shirt,2,Women/Tops & Blouses/Blouse,Women,Tops & Blouses,Blouse,,,Anthropologie,27,0,0,"fancy, dressy or casual! dress it up or down 100% polyester; washed once, never dried. size: small brand: lush purchased from francesca's tags: free people, anthropology, dry goods, francesca's",0
20,Torrid Nautical Peplum Tube Top,3,"Women/Tops & Blouses/Tank, Cami",Women,Tops & Blouses,"Tank, Cami",,,Torrid,13,0,1,size 1. worn once. excellent condition,0
21,NWT VS ULTIMATE SPORTS BRA 34ddd,1,Women/Athletic Apparel/Sports Bras,Women,Athletic Apparel,Sports Bras,,,Victoria's Secret,20,0,0,nwt victoria's secret ultimate sport bra -maximum support size 34ddd,0
22,Galaxy S7 Edge (Unlocked) 32GB,3,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Electronics,Cell Phones & Accessories,Cell Phones & Smartphones,,,Samsung,386,1,0,"reasonable offers welcomed. but if you ask ""lowest"" or lowball i'll block you... - this phone was opened under t-mobile but has now been unlocked after switching to new phone. - all of the buttons are functioning like new still. - it's in perfect used condition - check my reviews for honest feedback. - 32gb ; sorry no charger included",1
23,Triple car charger,1,Electronics/Cell Phones & Accessories/Chargers & Cradles,Electronics,Cell Phones & Accessories,Chargers & Cradles,,,Unknown,8,0,1,brand new never used all colors are available each only [rm],0
24,Black and Red Baseball Tee,2,Women/Tops & Blouses/T-Shirts,Women,Tops & Blouses,T-Shirts,,,FOREVER 21,10,0,0,"lanascloset ~~~ description: never worn! âœ¨ i delete/update my listings and relist them so like my â€œsoldâ€� listings to have easier access to my shop later on ~~~ âœ¨ i normally ship the following day, but it happens that i ship a few days after purchase ~~~ forever 21 brandy melville baseball tee",0
25,Air Jordan carmine 6s,3,Men/Shoes/Athletic,Men,Shoes,Athletic,,,Air Jordan,66,0,0,they are 100 percent authentic. they are beaters but they still have a lot of life in them. no original box.,0
26,OtterBox Defender Iphone 6 Plus/6s Plus,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Electronics,Cell Phones & Accessories,"Cases, Covers & Skins",,,Apple,13,0,1,brand new otterbox defender iphone 6 plus/6s plus,0
27,LuLaRoe OS Black With White Polka Dots,3,"Women/Athletic Apparel/Pants, Tights, Leggings",Women,Athletic Apparel,"Pants, Tights, Leggings",,,LuLaRoe,24,0,0,worn one time. excellent condition,0
28,Forever21 floral romper strapless,2,Women/Swimwear/One-Piece,Women,Swimwear,One-Piece,,,FOREVER 21,5,0,1,beautiful excellent condition zips and ties in the back cream liner top to bottom,0
29,Kendra bundle,3,Women/Jeans/Boot Cut,Women,Jeans,Boot Cut,,,Hollister,16,0,1,"29w. x 33l. social stretch hollister jeans *** please see picture 4, the leathers tag near the belt loops is tore also, ae favorite boyfriend size 8 stretch",0
30,Too Faced Better Than Sex Mascara QTY3,1,Beauty/Makeup/Eyes,Beauty,Makeup,Eyes,,,Too Faced,32,0,1,bnib 3 for [rm] better than sex waterproof mascara travel size 4.8g /0.17 oz see my other posts for [rm] each or 2 for [rm],0
31,"New Lularoe OS leggings, stars",1,"Women/Athletic Apparel/Pants, Tights, Leggings",Women,Athletic Apparel,"Pants, Tights, Leggings",,,Unknown,50,0,1,no description yet,0
32,Pink bra 36d,1,Women/Underwear/Bras,Women,Underwear,Bras,,,PINK,22,0,0,pink bra with logo band! 36d push up,0
33,CaudalÃ­e Beauty Elixir Spray,1,Beauty/Skin Care/Face,Beauty,Skin Care,Face,,,Sephora,10,0,1,new unused and authentic. caudalie beauty elixir mist. 1 oz,0
34,Four puppy dog stuffed animal ty,3,Kids/Toys/Stuffed Animals & Plush,Kids,Toys,Stuffed Animals & Plush,,,Unknown,5,0,1,2 beanie babies pugsley wrinkles puppy with pumpkin big dog retro pinup doll frilly skirted adorable barbie pinksuper cute! fan martini cherry pinup anchor marabou #kitschoure #beasweetlollipopinaworldofsoursuckers from love in sunny san diego cali-fornia us of a! absolutely adorable soft genuine real bunny fox foxy loxy fur stunning and gorgeous! bambi long eyelashes ! sweet cheeks blush pink juicy dollface! candy colors! girlfriend. dance club baby! panty present for the girl who has everything! cupcake couture resin kawaii lolita dress up gift for lime crime pegasus unicorn flamingo swan princess kitty pinup rockabilly girls jewelry and wild fox lolita kawaii gypsy wedding festival edf electronic dance rave raver coachella party,0
35,Black Capri Leggings w/ Flowers One size,1,"Women/Athletic Apparel/Pants, Tights, Leggings",Women,Athletic Apparel,"Pants, Tights, Leggings",,,Unknown,13,0,1,one size fits sizes 2-12 92% polyester 8% spandex super soft!! capri leggings high waist 1in elastic waist band,0
36,Black bag 30,3,Women/Women's Handbags/Totes & Shoppers,Women,Women's Handbags,Totes & Shoppers,,,Unknown,209,1,0,pre-owned. some light scratches on hardware consistent with gentle use. real togo leather. comes with twilly.,0
37,Under Armour maroon and gray shirt metal,4,Men/Athletic Apparel/Shirts & Tops,Men,Athletic Apparel,Shirts & Tops,,,Under Armour,6,0,1,"has some wear to the back, and few white spots which i believe can be washed out",0
38,XBOX One,3,Electronics/Video Games & Consoles/Consoles,Electronics,Video Games & Consoles,Consoles,,,Xbox,226,1,0,500gb comes with power cord one controller with rechargeable pack and cord comes with downloaded games the top is pretty scratched up but it doesn't affect the gameplay,0
39,Victoria secret 34 c corest top,3,Women/Underwear/Bras,Women,Underwear,Bras,,,Victoria's Secret,10,0,0,victoria secret 34 c corest top will bundle to save on shipping if you have any questions please feel free to ask,0
40,Kylie Birthday Edition,1,Beauty/Makeup/Makeup Sets,Beauty,Makeup,Makeup Sets,,,Kylie Cosmetics,20,0,1,kylie happy birthday matte mini lipstick kylie jenner lip kit birthday matte lipstick mini kit 6 pcs all 6 included for the price. brand new never opened 6 mini lipstick leo kristen dolce expos price is firm! will not be disappointed shipping generally takes 1-3 days via usps i ship within 24 hours. 48 hours on week,0
41,tropical flower print bra from pink,3,Women/Underwear/Bras,Women,Underwear,Bras,,,PINK,13,0,1,"used buh looks brand new and is washed and ready to be shipped supper cute tropical print supper comfy and soft size: 34 aa great quality made by victoria's secret pink 100% authentic called ""where every where lightly lined bra"" free ship ships same day price includes shipping and seller fee",0
42,lots of Korean Nature Republic face mask,1,Beauty/Skin Care/Face,Beauty,Skin Care,Face,,,Unknown,14,0,1,"totally 36 masks, will be expired on feb..",0
43,Apricot beige stick foundation!!,1,Beauty/Makeup/Face,Beauty,Makeup,Face,,,Unknown,12,0,1,great quality!!! fast free shipping!! you can find more beautiful items in my listings for a great affordable price!! everything is sell is new and for free shipping!! i also make bundles!!,0
44,Glass Christmas Bowlâœ¨,2,Vintage & Collectibles/Collectibles/Glass,Vintage & Collectibles,Collectibles,Glass,,,Unknown,12,0,1,brand new! never used smoking bowl. just bought 2 days ago. can't return these things after you buy. pretty christmas colors :) too big for my piece.,0
45,Woman's north face puffer vest,3,Women/Coats & Jackets/Vest,Women,Coats & Jackets,Vest,,,The North Face,51,0,0,"black outside medium gray inside. authentic, super warm and in like new condition. size small and runs true to size.",0
46,Metallic purple slime with sparkles,1,Kids/Toys/Arts & Crafts,Kids,Toys,Arts & Crafts,,,Unknown,8,0,0,"this slime is approximately 1.5 ounces, very soft, it is kind of sticky, this item also comes in an air tight container for easy storage. this slime was scemted with sparkling blackberry woods by bath and body works.",0
